sample_345	1	15	21	27	37	43
sample_346	2	12	22	24	38	40
sample_347	3	13	23	25	39	41
sample_348	4	10	16	30	32	46
sample_349	5	11	17	31	33	47
sample_350	6	8	18	28	34	44
sample_351	7	9	19	29	35	45
sample_352	0	9	17	24	37	44
sample_353	1	8	16	25	36	45
sample_354	2	11	19	26	39	46
sample_355	3	10	18	27	38	47
sample_356	4	13	21	28	33	40
sample_357	5	12	20	29	32	41
sample_358	6	15	23	30	35	42
sample_359	7	14	22	31	34	43
sample_360	0	8	19	27	33	41
sample_361	1	9	18	26	32	40
sample_362	2	10	17	25	35	43
sample_363	3	11	16	24	34	42
sample_364	4	12	23	31	37	45
sample_365	5	13	22	30	36	44
sample_366	6	14	21	29	39	47
sample_367	7	15	20	28	38	46
sample_368	0	11	21	30	38	45
sample_369	1	10	20	31	39	44
sample_370	2	9	23	28	36	47
sample_371	3	8	22	29	37	46
sample_372	4	15	17	26	34	41
sample_373	5	14	16	27	35	40
sample_374	6	13	19	24	32	43
sample_375	7	12	18	25	33	42
sample_376	0	10	23	29	34	40
sample_377	1	11	22	28	35	41
sample_378	2	8	21	31	32	42
sample_379	3	9	20	30	33	43
sample_380	4	14	19	25	38	44
sample_381	5	15	18	24	39	45
sample_382	6	12	17	27	36	46
sample_383	7	13	16	26	37	47
